product_title,product_vendor,product_type,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost,gross_profit
Himeika Mei Button Pin,Meimei (Original),Button Pin,2,7,0,0,7,0,7,1.5,5.5
Rhea Bunny Print,Kekkitoz (Collab) Rhea,Print,1,12,0,0,12,0,12,3,9
Digi Charms,Digi (Commercial),Acrylic Charm,1,22,0,0,22,0,22,7,15
Synical Lounge Poster,Synical (Commercial),Print,-1,0,0,-18,-18,0,-18,-3.5,-14.5
Kyoharu Excite Charm,Dormir (Collab) Kyoharu,Acrylic Charm,-1,0,0,-12.95,-12.95,0,-12.95,-3.5,-9.45
Zion Deskmat,Finni (Collab) Zion,Deskmat,1,35,-5.25,0,29.75,0,29.75,18.95,10.8
Smol 3D Mousepad,Dormir (Collab) Smol,3D Mousepad,3,90.49,0,0,90.49,0,90.49,27,63.49
Maple Chicken Zip Hoodie,zamBee (Collab) Maple Chicken,hoodie,1,55,0,0,55,0,55,41.8,13.2
Joei Chibi Stickers,Joei (Commercial),Sticker,3,21,0,0,21,0,21,7.5,13.5
"""I Don't Speak Korean"" Hoodie",Yorunomachi,hoodie,-2,0,0,-85.27,-85.27,0,-85.27,-40,-45.27
Rhea Bunny Standee,Kekkitoz (Collab) Rhea,Standee,1,18,0,0,18,1.08,19.08,8.5,9.5
Zambee Shaker Standee,zamBee (Original),,-1,0,0,-25,-25,0,-25,-18,-7
Valentine Lanyard Keychain,Nahoko (Collab) Valentine,Acrylic Charm Lanyard,12,216,0,0,216,0,216,66,150
Kaiyo 3D Mousepad,Kaiyo (Commercial),3D Mousepad,1,30.52,0,0,30.52,0,30.52,15,15.52
Nasu Standee,Kekkitoz (Collab) Nasu,Standee,1,18,0,0,18,0,18,8.5,9.5
Kirana Standee,Monoyoki (Collab) Kirana,Standee,1,18,0,0,18,0,18,8.5,9.5
Cassie Standee,Elena (Collab) Cassie,Standee,1,15.69,0,0,15.69,0,15.69,3,12.69
Eat Cheese and Sin Tee,BobberWCC (Original),,3,96,0,0,96,0,96,41.97,54.03
Valentine Sticker,Finni (Collab) Valentine,Sticker,2,10,0,0,10,0,10,2,8
Kyoharu Standee,BluMoon (Collab) Kyoharu,Standee,-1,0,0,-18.37,-18.37,0,-18.37,-8,-10.37
Yuyu Tee,Yume Kuzukawa (Commercial),T-Shirt,1,32,0,0,32,0,32,13.99,18.01
Pomatomaster Mug,Veune (Collab) Pomatomaster,,1,20.68,-5.17,0,15.51,0,15.51,7.95,7.56
Pomatomaster Standee,Shinku (Collab) Pomatomaster,Standee,3,55.08,-4.63,0,50.45,0,50.45,24,26.45
Pomatomaster Sticker,Veune (Collab) Pomatomaster,Sticker,1,5,0,0,5,0,5,1.5,3.5
Kyoharu Flip! Charm,Dormir (Collab) Kyoharu,Acrylic Charm,-1,0,0,-12.95,-12.95,0,-12.95,-3.5,-9.45
Smol Chibi Sticker,Monoyoki (Collab) Smol,Sticker,4,20.74,0,0,20.74,0,20.74,4,16.74
Pomato Mission Tee (Grayscale),Pomatomaster (Commercial),,1,30,0,0,30,0,30,15.19,14.81
Kirana Tee,zamBee (Collab) Kirana,T-Shirt,3,96,0,0,96,0,96,61.02,34.98
Gaz Chibi Sticker,Gaz (Commercial),,1,5,0,0,5,0,5,0,0
Mint Photo Card,Teikki (Collab) Mintmoo,Print,1,6,0,0,6,0,6,0.5,5.5
Pomato Mission Tee (Orange),Pomatomaster (Commercial),,2,60.66,-7.66,0,53,0,53,30.38,22.62
OLP Chibi Charm,Near (Collab) OneLittlePiranha,Acrylic Charm,1,12,0,0,12,0,12,4,8
PapaMutt Standee,NahokoVeta (Collab) PapaMutt,Standee,1,25.71,0,0,25.71,0,25.71,16,9.71
Himeika Mei Birthday Print,Meimei (Original),Print,1,15,0,0,15,0,15,3,12
Rhea Dakimakura Cover,Rhea (Commercial),,3,105,0,0,105,0,105,60,45
Synical Standee,Kekkitoz (Collab) Synical,Standee,-1,0,0,-18,-18,0,-18,-8.5,-9.5
Valentine Peeker Stickers,Brocollie (Collab) Valentine,Sticker,7,79,0,0,79,0,79,25.7,53.3
Synical Sticker Sheet,NahokoVeta (Collab) Synical,Sticker Sheet,-1,0,0,-10,-10,0,-10,-2,-8
Kaiyo Standee,BluMoon (Collab) Kaiyo,Standee,1,18.92,0,0,18.92,0,18.92,8,10.92
Digi Model Standee,Digi (Commercial),Standee,1,18,0,0,18,0,18,9,9
Kaiyo Sticker,zamBee (Collab) Kaiyo,Sticker,1,5.22,0,0,5.22,0,5.22,1.5,3.72
Kirana Sticker,zamBee (Collab) Kirana,Sticker,1,5,0,0,5,0,5,1.5,3.5
Pomatomaster Charm,Veune (Collab) Pomatomaster,Acrylic Charm,4,48.83,0,0,48.83,0,48.83,14,34.83
Pomato Mission Hat (Orange Vers.),Pomatomaster (Commercial),,1,25.67,0,0,25.67,0,25.67,17.2,8.47
Digi Stickers,Digi (Commercial),Sticker Bundle,1,9,0,0,9,0,9,3,6
Sacrificial Valentine Print,Teikki (Collab) Valentine,Print,1,12,0,0,12,0,12,2.5,9.5
Smol Peeker Sticker,Monoyoki (Collab) Smol,Sticker,3,20.18,0,0,20.18,0,20.18,3,17.18
